cell,delta T,weight,number,freq,phamo,significance
2.1,-30,122,100,10,0,1
2.2,-28,168,100,10,0,1
2.3,-22,98,100,10,0,0
2.4,-22,173,100,10,0,1
2.5,-28,223,100,10,0,1
2.6,-12,126,100,10,0,1
2.7,21,174,100,10,0,1
2.8,-25,185,100,10,0,1
2.9,-30,123,100,10,0,1
2.1,20,86,100,10,0,-1
2.11,12,188,100,10,0,1
2.12,36,145,100,10,0,1
2.13,-43,299,100,10,0,1
2.14,-31,82,100,10,0,-1
2.15,10,96,100,10,0,0
2.16,16,115,100,10,0,1
2.17,-40,139,100,10,0,1
2.18,-50,175,100,10,0,1
2.19,-39,151,100,10,0,1
2.2,-46,116,100,10,0,1
2.21,31,175,100,10,0,1
2.22,35,188,100,10,0,1
2.23,20,107,100,10,0,0
2.24,35,89,100,10,0,-1
2.25,-65,104,100,10,0,0
2.26,52,151,100,10,0,1
2.27,-45,131,100,10,0,1
2.28,-57,299,100,10,0,1
2.29,70,196,100,10,0,1
2.3,-80,105,100,10,0,0
2.31,-75,276,100,10,0,1
4.1,-46,299,100,5,0,1
4.2,-32,299,100,5,0,1
4.3,-39,153,100,5,0,1
4.4,-43,162,100,5,0,1
4.5,-51,180,100,5,0,1
4.6,-55,69,100,5,0,-1
4.7,-65,113,100,5,0,1
4.8,-76,82,100,5,0,-1
4.9,-55,64,100,5,0,-1
4.1,-67,135,100,5,0,1
4.11,-42,75,100,5,0,-1
4.12,-45,138,100,5,0,1
4.13,-50,65,100,5,0,-1
4.14,-41,113,100,5,0,1
4.15,-36,185,100,5,0,1
4.16,-47,135,100,5,0,1
4.17,-43,177,100,5,0,1
4.18,3,228,100,5,0,1
4.19,-9,162,100,5,0,1
4.2,0,92,100,5,0,0
4.21,-106,71,100,5,0,-1
4.22,-95,97,100,5,0,0
4.23,-15,218,100,5,0,1
4.24,14,189,100,5,0,1
4.25,10,137,100,5,0,1
4.26,16,144,100,5,0,1
4.27,32,89,100,5,0,-1
4.28,26,83,100,5,0,-1
4.29,43,106,100,5,0,0
4.3,16,146,100,5,0,1
4.31,31,97,100,5,0,0
4.32,60,69,100,5,0,-1
4.33,-85,103,100,5,0,0
6.1,65,56,100,3,0,-1
6.2,60,82,100,3,0,-1
6.3,62,88,100,3,0,-1
6.4,66,96,100,3,0,0
6.5,-32,299,100,3,0,1
6.6,-47,113,100,3,0,1
6.7,-36,119,100,3,0,1
6.8,-50,171,100,3,0,1
6.9,-38,117,100,3,0,1
6.1,-41,66,100,3,0,-1
6.11,-21,133,100,3,0,1
6.12,25,66,100,3,0,-1
6.13,15,203,100,3,0,0
6.14,15,68,100,3,0,-1
6.15,-19,123,100,3,0,1
6.16,-11,171,100,3,0,1
6.17,13,144,100,3,0,1
6.18,42,91,100,3,0,0
6.19,15,182,100,3,0,1
6.2,15,85,100,3,0,-1
6.21,-23,245,100,3,0,1
6.22,-11,147,100,3,0,1
6.23,-28,107,100,3,0,0
6.24,25,153,100,3,0,1
6.25,-45,185,100,3,0,1
6.26,-56,138,100,3,0,1
6.27,-5,141,100,3,0,1
6.28,-2,70,100,3,0,-1
6.29,-5,175,100,3,0,1
6.3,-66,96,100,3,0,0
6.31,-72,116,100,3,0,1
6.32,96,78,100,3,0,-1
6.33,85,86,100,3,0,-1
6.34,95,88,100,3,0,-1
6.35,86,75,100,3,0,-1
6.36,-85,141,100,3,0,1
6.37,-108,93,100,3,0,0
6.38,-105,117,100,3,0,1
6.39,-119,199,100,3,0,1
6.4,-105,135,100,3,0,1
9.1,-20,129,100,1,0,1
9.2,-23,299,100,1,0,1
9.3,-18,142,100,1,0,1
9.4,-22,126,100,1,0,1
9.5,-19,166,100,1,0,1
9.6,-40,89,100,1,0,-1
9.7,-8,120.2,100,1,0,1
9.8,-12,90.7,100,1,0,-1
9.9,-7,246.8,100,1,0,1
9.1,-9,198.4,100,1,0,1
9.11,-20,101.1,100,1,0,0
9.12,-23,140.6,100,1,0,1
9.13,-20,252.6,100,1,0,1
9.14,-13,111.1,100,1,0,1
9.15,-19,117.9,100,1,0,1
9.16,-22,109.5,100,1,0,1
9.17,-22,102.7,100,1,0,0
9.18,-36,86.8,100,1,0,-1
9.19,-12,98.1,100,1,0,0
9.2,-15,252.4,100,1,0,1
9.21,-19,150,100,1,0,1
9.22,-16,175,100,1,0,1
9.23,-15,240,100,1,0,1
9.24,27,98,100,1,0,0
9.25,19,57,100,1,0,-1
9.26,25,48.1,100,1,0,-1
9.27,13,77.7,100,1,0,-1
9.28,20,95,100,1,0,0
9.29,19,57.2,100,1,0,-1
9.3,17,27.7,100,1,0,-1
9.31,24,78.9,100,1,0,-1
9.32,28,76.1,100,1,0,-1
9.33,31,115.7,100,1,0,1
9.34,37,101,100,1,0,0
9.35,24,105.2,100,1,0,0
9.36,21,50,100,1,0,-1
9.37,26,80,100,1,0,-1
9.38,28,55,100,1,0,-1
11.1,50,150,100,0.1,0,1
11.2,-20,179,100,0.1,0,1
11.3,11,52,100,0.1,0,-1
11.4,-15,98,100,0.1,0,0